Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fiber( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)
"Friday, May 7, 2021",1195,52.45,0.15,129.4,1.2,0.15,52.25,2.25,,
 Breakfast,357,13.45,,47.55,,,11.45,,,
  Siesta Онигири Тунец,142,0.9,,25.3,,,8.2,,,
"   100г, 100 g"
  Ашан Круассан с Кремом,215,12.55,,22.25,,,3.25,,,
"   1/2 x 100г, 50 g"
 Lunch,690,31.5,0.15,77.65,1.2,0.15,24.9,2.25,,
  ВкусВилл Сэндвич-Ролл с Курицей,309,16.35,,29.7,,,10.8,,,
"   1 1/2 x 100г, 150 g"
  ВкусВилл Роллы Филадельфия ,192,8.85,0.15,15.75,,0.15,12.3,2.25,,
"   1 1/2 x 100г, 150 g"
  Мегамарт Оладушки Тыквенные,120,6.3,,14.7,,,1.4,,,
   70 g
  Окей Виноград Черный ,69,0,,17.5,1.2,,0.4,,,
"   100г, 100 g"
 Dinner,148,7.5,,4.2,,,15.9,,,
  Лакомо Творог Зерненый,148,7.5,,4.2,,,15.9,,,
"   1 1/2 x 100г, 150 g"
 Snacks/Other,,,,,,,,,,

"Saturday, May 8, 2021",1757,71.75,0.1,207.72,3.15,12,68.25,1,,358
 Breakfast,641,24.6,,77.5,2.15,,24,,,
  Mukinet Булочка с Корицей ,62,0.55,,6.8,,,7.45,,,
"   1/2 x 100г, 50 g"
  Россия Щедрая Душа Шоколад Горький ,208,15.4,,10.85,,,3.85,,,
   35 g
  Увелка Каша Дружба,221,0.65,,48.1,2.15,,5.2,,,
   65 g
  Милград Молоко,150,8,,11.75,,,7.5,,,
"   2 1/2 x 100г, 250 g"
 Lunch,596,29.2,0.1,65.7,1,12,18.1,1,,358
  Шебекинские Макароны Вареные,170,0.5,,35.2,,,5.2,,,
"   100г, 100 g"
  Сызрань Сосиски Молочные,296,28,,0,,,11,,,
"   100г, 100 g"
  Пятерочка Банан,89,0.3,0.1,23,1,12,1.1,1,,358
"   100г, 100 g"
  Магнит Клубника,41,0.4,,7.5,,,0.8,,,
"   100г, 100 g"
 Dinner,520,17.95,,64.52,,,26.15,,,
  Шоколадница Суп Том Ям,355,8.5,,48.5,,,16.2,,,
"   1 порция, 285 g"
  Merito Роллы,68,4.6,,4.2,,,8.55,,,
"   1/2 x 100г, 50 g"
  Starbucks Венская Вафля,97,4.85,,11.82,,,1.4,,,
"   1/4 x 100г, 25 g"
 Snacks/Other,,,,,,,,,,

"Sunday, May 9, 2021",1827,70.47,4.2,210.43,1.65,11.4,87.8,,,
 Breakfast,1051,38.17,,131.8,1.65,,42.65,,,
  Увелка Каша Дружба,170,0.5,,37,1.65,,4,,,
"   1/2 x 100г, 50 g"
  Милград Молоко,120,6.4,,9.4,,,6,,,
"   2 x 100г, 200 g"
  Fine Food Шоколад Горький,191,13.12,,13.3,,,3.5,,,
"   1 3/4 x 1 шоколадка, 35 g"
  Хлебозавод 22 Хлеб Ржаной,114,0.9,,21.6,,,4.5,,,
   60 g
  Norven Форель Слабосоленая,101,6.25,,0,,,11.25,,,
"   1/2 x 100г, 50 g"
  Амка Каша Овсяная,355,11,,50.5,,,13.4,,,
"   100г, 100 g"
 Lunch,579,22.3,4.2,73.03,,11.4,23.95,,,
  Магнит Картофель,53,0.28,,11.27,,,1.4,,,
   70 g
  Окей Фасоль,216,1.19,,38.29,,,15.61,,,
   70 g
  Ашан Шампиньоны,19,0.7,,0.07,,,3.01,,,
   70 g
  УМКК Бекон,132,13.5,,0.3,,,2.4,,,
   30 g
  Карусель Безе,49,0.03,,11.7,,,0.45,,,
   15 g
  Schogetten Шоколад,110,6.6,4.2,11.4,,11.4,1.08,,,
   20 g
 Dinner,,,,,,,,,,
 Snacks/Other,197,10,,5.6,,,21.2,,,
  Лакомо Творог Зерненый,197,10,,5.6,,,21.2,,,
"   2 x 100г, 200 g"

"Tuesday, May 11, 2021",1902,63.13,3.15,239.31,,15.25,92.78,1.6,,
 Breakfast,536,22.98,,66.15,,,16.72,,,
  Амка Каша Овсяная,178,5.5,,25.25,,,6.7,,,
"   1/2 x 100г, 50 g"
  Милград Молоко,120,6.4,,9.4,,,6,,,
"   2 x 100г, 200 g"
  Къысмет Сырник,108,4.08,,16.5,,,2.82,,,
   30 g
  Россия Щедрая Душа Шоколад Темный,130,7,,15,,,1.2,,,
"   1 порция, 25 g"
 Lunch,659,22.06,3.15,89.89,,8.55,22.91,,,
  Морозко Котлеты из Говядины,248,16.51,,9.1,,,15.86,,,
   130 g
  Шебекинские Макароны Вареные,204,0.6,,42.24,,,6.24,,,
   120 g
  Нежин Лечо,125,0,,30,,,0,,,
"   2 1/2 x 100г, 250 g"
  Schogetten Шоколад,82,4.95,3.15,8.55,,8.55,0.81,,,
   15 g
 Dinner,454,12.26,,42.12,,,42.88,,,
  ВкусВилл Коктейль из Морепродуктов в Масле,150,3.6,,0.52,,,28.8,,,
"   1 1/2 x 100г, 150 g"
  Шебекинские Макароны Вареные,170,0.5,,35.2,,,5.2,,,
"   100г, 100 g"
  ВкусВилл Ёжики Куриные с Рисом ,134,8.16,,6.4,,,8.88,,,
   80 g
 Snacks/Other,253,5.83,,41.15,,6.7,10.27,1.6,,
"  Активиа Биопродукт Творожно-Йогуртный 4,5%",105,5.13,,6.35,,,8.37,,,
   135 g
  Окей Груша Конференс,84,0,,21.4,,,0.8,,,
"   2 x 100г, 200 g"
  ВкусВилл Лечо,64,0.7,,13.4,,6.7,1.1,1.6,,
"   100г, 100 g"

"Wednesday, May 12, 2021",1543,31.05,0,262.62,7.87,21.09,51.01,4,,
 Breakfast,577,12.07,0,100.34,5.28,4.34,15.89,0,,
  Увелка Каша Дружба,255,0.75,,55.5,2.48,,6,,,
"   3/4 x 100г, 75 g"
  Милград Молоко,120,6.4,,9.4,,,6,,,
"   2 x 100г, 200 g"
  Вдохновение Шоколад Классический,58,4.22,0,4.34,0,4.34,0.74,0,,
"   1 долька, 10 g"
  Dr. Korner Хлебцы со Вкусом Клюквы,112,0.7,,23.1,2.8,0,3.15,,,
   35 g
  Медовая Долина Мёд ,32,0,,8,,0,0,,,
   10 g
 Lunch,365,8.38,,56.48,,,15.7,,,
  Шебекинские Макароны Вареные,111,0.33,,22.88,,,3.38,,,
   65 g
  ВкусВилл Ёжики Куриные с Рисом ,126,7.65,,6,,,8.32,,,
"   3/4 x 100г, 75 g"
  Увелка Перловая Каша ,128,0.4,,27.6,,,4,,,
   40 g
 Dinner,457,9.9,,74.7,,16.75,16.27,4,,
  Шебекинские Макароны Вареные,170,0.5,,35.2,,,5.2,,,
"   100г, 100 g"
  ВкусВилл Ёжики Куриные с Рисом ,126,7.65,,6,,,8.32,,,
"   3/4 x 100г, 75 g"
  ВкусВилл Лечо,161,1.75,,33.5,,16.75,2.75,4,,
"   2 1/2 x 100г, 250 g"
 Snacks/Other,144,0.7,,31.1,2.59,0,3.15,,,
  Dr. Korner Хлебцы Клюквенные,112,0.7,,23.1,2.59,,3.15,,,
   35 g
  Медовая Долина Мёд ,32,0,,8,,0,0,,,
   10 g

"Thursday, May 13, 2021",1902,96.36,2.4,199.53,2.4,47.6,69.55,55.6,,
 Breakfast,611,34.32,,43.61,2.4,0,33.9,,,
  Роскар Яйцо ,225,16.5,,0,,0,21,,,
"   1 1/2 x 100г, 150 g"
  Окей Лаваш,117,0.77,,23.58,,,3.92,,,
   45 g
  Велком Колбаса Докторская,112,9.75,,0,,,6.25,,,
"   1/2 x 100г, 50 g"
  Каждый День Майонез,61,6.7,,0.23,,,0.03,,,
   10 g
  Dr. Korner Хлебцы со Вкусом Клюквы,96,0.6,,19.8,2.4,0,2.7,,,
   30 g
 Lunch,669,33.89,,79.54,,6.7,20.32,1.6,,
  Шебекинские Макароны Вареные,221,0.65,,45.76,,,6.76,,,
   130 g
  Останкино Сосиски ,265,25,,0,,,10,,,
"   100г, 100 g"
  ВкусВилл Лечо,64,0.7,,13.4,,6.7,1.1,1.6,,
"   100г, 100 g"
  Штолле Булочка с Маком,119,7.54,,20.38,,,2.46,,,
   20 g
 Dinner,385,19.15,,44,,15,8.85,,,
  Ашан Помидор,20,0.2,,4.2,,,0.6,,,
"   100г, 100 g"
  Ашан Огурец,15,0.1,,2.8,,,0.8,,,
"   100г, 100 g"
  Велком Колбаса Докторская,67,5.85,,0,,,3.75,,,
   30 g
  Nestle Maxibon Страчателла,283,13,,37,,15,3.7,,,
"   1 мороженое, 89 g"
 Snacks/Other,237,9,2.4,32.38,,25.9,6.48,54,,
  Milky Way Шоколадный Батончик,117,4.2,2.4,18.88,,17.1,0.78,54,,
"   1 батончик, 26 g"
  Epica Йогурт Клубника ,120,4.8,,13.5,,8.8,5.7,,,
"   100г, 100 g"

"Friday, May 14, 2021",1840,91.16,0.16,205.2,2.59,19.2,52.65,1.6,,572.8
 Breakfast,562,23.24,0.06,68.56,1.59,7.2,20.55,0.6,,214.8
  Увелка Каша Дружба,102,0.3,,22.2,0.99,,2.4,,,
   30 g
  Милград Молоко,120,6.4,,9.4,,,6,,,
"   2 x 100г, 200 g"
  Пятерочка Банан,53,0.18,0.06,13.8,0.6,7.2,0.66,0.6,,214.8
   60 g
  Окей Лаваш,78,0.51,,15.72,,,2.61,,,
   30 g
  Останкино Колбаса Докторская,126,11,,0,,,6.5,,,
"   1/2 x 100г, 50 g"
  Президент Сыр-Мусс Творожный Сливочный «Прованс»,49,4.4,,1.1,,,1.2,,,
   20 g
  ВкусВилл Хлеб Чиабатта,34,0.45,,6.34,,,1.18,,,
   15 g
 Lunch,869,51.61,,77.72,,0,22.59,,,
  Му-Му Пюре Картофельное ,192,12,,16.8,,,2.4,,,
   120 g
  Мираторг Котлета Говяжья,360,35,,0,,0,12,,,
"   100г, 100 g"
  Окей Лаваш,78,0.51,,15.72,,,2.61,,,
   30 g
  Велком Колбаса Докторская,45,3.9,,0,,,2.5,,,
   20 g
  Хороший День Чернослив,100,0.2,,23.2,,,1,,,
   40 g
  Премия Курага,94,0,,22,,,2.08,,,
   40 g
 Dinner,409,16.31,0.1,58.92,1,12,9.51,1,,358
  Ашан Помидор,20,0.2,,4.2,,,0.6,,,
"   100г, 100 g"
  Ашан Огурец,15,0.1,,2.8,,,0.8,,,
"   100г, 100 g"
  Теремок Картофельное Пюре ,162,11.3,,13.2,,,1.9,,,
"   1 порция, 60 g"
  Окей Лаваш,78,0.51,,15.72,,,2.61,,,
   30 g
  Велком Колбаса Докторская,45,3.9,,0,,,2.5,,,
   20 g
  Пятерочка Банан,89,0.3,0.1,23,1,12,1.1,1,,358
"   100г, 100 g"
 Snacks/Other,,,,,,,,,,

"Saturday, May 15, 2021",467,19.27,0.08,45.3,0.8,9.6,18.23,0.8,,286.4
 Breakfast,467,19.27,0.08,45.3,0.8,9.6,18.23,0.8,,286.4
  Ашан Яичница Глазунья,120,4.65,,0.5,,,7.95,,,
"   1/2 x 100г, 50 g"
  Свинокомплекс Томский Сосиска Молочная,148,14,,0,,,5.5,,,
"   1/2 x 100г, 50 g"
  Шебекинские Макароны Вареные,128,0.38,,26.4,,,3.9,,,
"   3/4 x 100г, 75 g"
  Пятерочка Банан,71,0.24,0.08,18.4,0.8,9.6,0.88,0.8,,286.4
   80 g
 Lunch,,,,,,,,,,
 Dinner,,,,,,,,,,
 Snacks/Other,,,,,,,,,,

"Sunday, May 16, 2021",433,17.27,,74.08,,,17.87,,,
 Breakfast,433,17.27,,74.08,,,17.87,,,
  Славянка Торт Йогуртовый,229,10.3,,54.2,,,2.6,,,
"   100г, 100 g"
  Хлебопек Хлеб Тостовый,66,0.72,,12.98,,,1.92,,,
"   1/4 x 100г, 25 g"
  Elpozo Хамон,46,2.4,,0,,,6,,,
   20 g
  Norven Форель Слабосоленая,61,3.75,,0,,,6.75,,,
   30 g
  Dr. Korner Хлебец Рисовый,31,0.1,,6.9,,,0.6,,,
"   1 штука, 10 g"
 Lunch,,,,,,,,,,
 Dinner,,,,,,,,,,
 Snacks/Other,,,,,,,,,,

"Monday, May 17, 2021",1595,46.21,0.1,222.19,1,25.2,82.14,1,,358
 Breakfast,681,17.46,,103.74,,,35.34,,,
"  Рецепты, Проверенные Временем Ржаной Хлеб",59,0.36,,11.97,,,1.83,,,
   30 g
  Dr. Korner Хлебец Гречневый,28,0.3,,5.2,,,1.2,,,
"   1 хлебец, 10 g"
  Elpozo Хамон,137,7.2,,0,,,18,,,
   60 g
  Norven Форель Слабосоленая,81,5,,0,,,9,,,
   40 g
  Моя Семья Сок Цитрусовый Микс,168,0,,42,,,0,,,
"   3 1/2 x 100мл, 350 ml"
  Русский завтрак Каша 4 Злака,128,1,,25.6,,,4.4,,,
   40 g
  Славянка Торт Йогуртовый,80,3.6,,18.97,,,0.91,,,
   35 g
 Lunch,730,23.45,,91.45,,13.2,37.2,,,
  Norven Форель Слабосоленая,81,5,,0,,,9,,,
   40 g
  Хлебозавод 22 Хлеб Ржаной,57,0.45,,10.8,,,2.25,,,
   30 g
  Dr. Korner Хлебец Гречневый,28,0.3,,5.2,,,1.2,,,
"   1 хлебец, 10 g"
  Шебекинские Макароны Вареные,170,0.5,,35.2,,,5.2,,,
"   100г, 100 g"
  Ёхор Тефтели,166,10,,8,,,11,,,
"   100г, 100 g"
  Моя Семья Сок Цитрусовый Микс,48,0,,12,,,0,,,
"   100мл, 100 ml"
  Epica Йогурт Клубника ,180,7.2,,20.25,,13.2,8.55,,,
"   1 1/2 x 100г, 150 g"
 Dinner,,,,,,,,,,
 Snacks/Other,184,5.3,0.1,27,1,12,9.6,1,,358
  Пятерочка Банан,89,0.3,0.1,23,1,12,1.1,1,,358
"   100г, 100 g"
  Простоквашино Творог Мягкий "Нежный" 5%,95,5,,4,,,8.5,,,
"   100г, 100 g"

"Tuesday, May 18, 2021",1662,90.84,0.3,111.03,,10.11,77.39,1150,,
 Breakfast,646,28.92,,48.44,,,25.44,,,
  Велком Бекон,168,16,,0,,,6.4,,,
   40 g
  Ашан Яичница Глазунья,241,9.3,,1,,,15.9,,,
"   100г, 100 g"
  Дело Вкуса Морс из Клюквы,140,0,,34.3,,,0.35,,,
"   3 1/2 x 100г, 350 g"
  Шебекинские Макароны Вареные,59,0.17,,12.32,,,1.82,,,
   35 g
  President Сыр-Мусс Творожный Сливочный ,38,3.45,,0.82,,,0.97,,,
   15 g
 Lunch,464,26.3,,37.69,,,18.89,,,
  Шебекинские Макароны Вареные,85,0.25,,17.6,,,2.6,,,
"   1/2 x 100г, 50 g"
  Велком Бекон,189,18,,0,,,7.2,,,
   45 g
  Окское Яйцо,110,8.05,,0.49,,,8.89,,,
"   1 штука, 70 g"
  Дело Вкуса Морс из Клюквы,80,0,,19.6,,,0.2,,,
"   2 x 100г, 200 g"
 Dinner,552,35.62,0.3,24.9,,10.11,33.06,1150,,
  Rainbow Ветчина,54,1.5,0.3,0.9,,0.75,9,1150,,
"   1/2 x 100г, 50 g"
  Окское Яйцо,110,8.05,,0.49,,,8.89,,,
"   1 штука, 70 g"
  Велком Бекон,84,8,,0,,,3.2,,,
   20 g
  Сызрань Сосиски Молочные,148,14,,0,,,5.5,,,
"   1/2 x 100г, 50 g"
  Активиа Йогурт Чернослив,121,3.77,,16.51,,9.36,5.07,,,
   130 g
  Ашан Помидор,20,0.2,,4.2,,,0.6,,,
"   100г, 100 g"
  Ашан Огурец,15,0.1,,2.8,,,0.8,,,
"   100г, 100 g"
 Snacks/Other,,,,,,,,,,

"Thursday, May 20, 2021",463,28.16,,5.28,,,25.2,,,
 Breakfast,463,28.16,,5.28,,,25.2,,,
  Ашан Яичница Глазунья,241,9.3,,1,,,15.9,,,
"   100г, 100 g"
  Велком Бекон,168,16,,0,,,6.4,,,
   40 g
  Ашан Огурец,15,0.1,,2.8,,,0.8,,,
"   100г, 100 g"
  Хохланд Сыр Плавленный,39,2.76,,1.48,,,2.1,,,
   20 g
 Lunch,,,,,,,,,,
 Dinner,,,,,,,,,,
 Snacks/Other,,,,,,,,,,

"Monday, May 24, 2021",1655,64.2,0.17,187.97,1.7,20.4,83.6,1.7,,608.6
 Breakfast,451,7.86,0.07,86.3,0.7,8.4,10.82,0.7,,250.6
  Магнолия Овсяная Каша,237,7.5,,34.2,,,8.4,,,
"   3 x 100г, 300 g"
  Пятерочка Банан,62,0.21,0.07,16.1,0.7,8.4,0.77,0.7,,250.6
   70 g
  ВкусВилл Яблоко Сушёное,152,0.15,,36,,,1.65,,,
"   3/4 x 100г, 75 g"
 Lunch,271,15.57,,17.4,,,14.8,,,
  Мегамарт Люля Кебаб,184,14,,2,,,12,,,
"   100г, 100 g"
  Алтайские Закрома Хлеб,87,1.57,,15.4,,,2.8,,,
   35 g
 Dinner,933,40.77,0.1,84.27,1,12,57.98,1,,358
  ВкусВилл Блины с Ветчиной (из Свинины) и Сыром,538,22.47,,61.27,,,22.68,,,
   212 g
  Дальневосточная Птица Грудка Куриная,306,18,,0,,,34.2,,,
   180 g
  Пятерочка Банан,89,0.3,0.1,23,1,12,1.1,1,,358
"   100г, 100 g"
 Snacks/Other,,,,,,,,,,

"Tuesday, May 25, 2021",1715,75.3,0.1,212.59,5.5,12,83.93,1,,358
 Breakfast,412,20,,7.44,,0,28.12,,,
  Ашан Яичница Глазунья,241,9.3,,1,,,15.9,,,
"   100г, 100 g"
  Монастырский Двор Сыр,49,3.7,,0,,0,3.82,,,
   15 g
  Савушкин Продукт Teos Йогурт Греческий 5%,122,7,,6.44,,,8.4,,,
   140 g
 Lunch,403,8.15,,65.8,4.5,0,16.31,,,
  Ложкарев Котлеты из Индейки,225,7.5,,27,,,12,,,
"   1 1/2 x 100г, 150 g"
  Зимовье Фасоль Стручковая,52,0.45,,8.4,4.5,,3.75,,,
"   1 1/2 x 100г, 150 g"
  ВкусВилл Пастилки Яблочные с Корицей,126,0.2,,30.4,,0,0.56,,,
   40 g
 Dinner,495,30.9,0.1,86.1,1,12,28,1,,358
  Алтайская Сказка Гречка Вареная,103,3.3,,63.1,,,12.6,,,
"   100г, 100 g"
  Останкино Сосиски Молочные,303,27.3,,0,,,14.3,,,
   130 g
  Пятерочка Банан,89,0.3,0.1,23,1,12,1.1,1,,358
"   100г, 100 g"
 Snacks/Other,405,16.25,,53.25,,,11.5,,,
  ВкусВилл Блины с Творогом,405,16.25,,53.25,,,11.5,,,
"   2 1/2 x 100г, 250 g"

"Wednesday, May 26, 2021",1382,71.11,,131.21,,15.3,52.98,,,
 Breakfast,509,27.37,,38.33,,15.3,26.09,,,
  Окское Яйцо,220,16.1,,0.98,,,17.78,,,
"   2 x 1 штука, 140 g"
  Тавр Сосиска,48,3.6,,0,,,3.9,,,
   30 g
  УМКК Колбаса,78,7.5,,0,,0,2.5,,,
"   1/4 x 100г, 25 g"
  Ufeelgood Сушеный Банан,97,0.12,,21.6,,15.3,1.29,,,
   30 g
  Mixbar Изюм,66,0.05,,15.75,,,0.62,,,
"   1/4 x 100г, 25 g"
 Lunch,873,43.74,,92.88,,,26.89,,,
  ВкусВилл Тальятелле со Шпинатом и Курицей в Сырном Соусе,566,30,,51.6,,,22.32,,,
   240 g
  ВкусВилл Банан Сушёный,87,0.3,,20.4,,,0.6,,,
   30 g
  Mixbar Изюм,79,0.06,,18.9,,,0.75,,,
   30 g
  Фундук Фундук,141,13.38,,1.98,,,3.22,,,
   20 g
 Dinner,,,,,,,,,,
 Snacks/Other,,,,,,,,,,

"Thursday, May 27, 2021",724,26.17,0.06,101.22,5.1,22.5,23.22,0.6,,214.8
 Breakfast,724,26.17,0.06,101.22,5.1,22.5,23.22,0.6,,214.8
  Ясно Солнышко Хлопья 4 Злака,155,1.5,,30.5,4.5,,5.5,,,
"   1/2 x 100г, 50 g"
  ВкусВилл Сэндвич-Ролл с Горбушей Горячего Копчения,179,9.76,,15.52,,,7.28,,,
   80 g
  Ufeelgood Сушеный Банан,97,0.12,,21.6,,15.3,1.29,,,
   30 g
  Viva Nut Чернослив,69,0.21,,17.25,,,0.69,,,
   30 g
  Пятерочка Банан,53,0.18,0.06,13.8,0.6,7.2,0.66,0.6,,214.8
   60 g
  Эдем Арахис,171,14.4,,2.55,,,7.8,,,
   30 g
 Lunch,,,,,,,,,,
 Dinner,,,,,,,,,,
 Snacks/Other,,,,,,,,,,

"Friday, May 28, 2021",1988,75.98,0.57,259.34,1,26.5,71.38,1,,358
 Breakfast,646,34.46,0.47,51.8,0,7.3,33.44,,,
  Вологодское Яйцо,314,23,,1.4,,,25.4,,,
"   2 x 100г, 200 g"
  Сиртаки Сыр,35,3.3,,0.3,,,1.05,,,
   15 g
  Данон Актимель,66,2.2,,8.4,,7.3,3.1,,,
"   100г, 100 g"
  Папа Может  Ветчина ,22,1.2,0.47,1,0,,1.8,,,
   20 g
  Dr. Korner Батончик Мюсли со Вкусом Йогурта Клюква,140,4.55,,23.45,,,1.4,,,
   35 g
  Viva Nut Чернослив,69,0.21,,17.25,,,0.69,,,
   30 g
 Lunch,892,32.7,0.1,136.7,1,19.2,16.94,1,,358
  Кухня на Районе Солянка,293,24,,11,,,9,,,
"   1 порция, 350 g"
  Пятерочка Банан,89,0.3,0.1,23,1,12,1.1,1,,358
"   100г, 100 g"
  Окей Пастила,210,0.3,,52.2,,,0.3,,,
   60 g
  Активиа Йогурт Чернослив,93,2.9,,12.7,,7.2,3.9,,,
"   100г, 100 g"
  Премия Курага,47,0,,11,,,1.04,,,
   20 g
  Dr. Korner Батончик Мюсли со Вкусом Йогурта Клюква,160,5.2,,26.8,,,1.6,,,
   40 g
 Dinner,450,8.82,,70.84,0,0,21,,,
  Ашан Свинина,111,7,,0,0,0,11.9,,,
   70 g
  Шебекинские Макароны Вареные,119,0.35,,24.64,,,3.64,,,
   70 g
  Preston Плов,220,1.47,,46.2,,,5.46,,,
   70 g
 Snacks/Other,,,,,,,,,,

"Saturday, May 29, 2021",1801,67.15,6.41,228.14,0,28.35,66.84,,,
 Breakfast,576,29.99,1.16,44.89,0,14.1,31.89,,,
  Пятерочка Яйца,188,13.8,,0.84,,,15.24,,,
   120 g
  Папа Может  Ветчина ,55,3,1.16,2.5,0,,4.5,,,
"   1/2 x 100г, 50 g"
  Активиа Йогурт Вишня,148,4.35,,21.45,,14.1,5.85,,,
"   1 1/2 x 100г, 150 g"
  Dr. Korner Батончик Мюсли со Вкусом Йогурта Клюква,120,3.9,,20.1,,,1.2,,,
   30 g
  Монастырский Двор Сыр,65,4.94,,0,,0,5.1,,,
   20 g
 Lunch,743,18.76,3.15,123.71,,8.55,18.97,,,
  Шебекинские Макароны Вареные,221,0.65,,45.76,,,6.76,,,
   130 g
  Мегамарт Фарш Куриный,179,13,,7,,,9,,,
"   100г, 100 g"
  Карусель Безе,261,0.16,,62.4,,,2.4,,,
   80 g
  Schogetten Шоколад,82,4.95,3.15,8.55,,8.55,0.81,,,
   15 g
 Dinner,318,16.8,2.1,29.54,,5.7,12.78,,,
  Мегамарт Фарш Куриный,179,13,,7,,,9,,,
"   100г, 100 g"
  Ашан Помидор,20,0.2,,4.2,,,0.6,,,
"   100г, 100 g"
  Ашан Огурец,30,0.2,,5.6,,,1.6,,,
"   2 x 100г, 200 g"
  Шебекинские Макароны Вареные,34,0.1,,7.04,,,1.04,,,
   20 g
  Schogetten Шоколад,55,3.3,2.1,5.7,,5.7,0.54,,,
   10 g
 Snacks/Other,164,1.6,,30,,,3.2,,,
  Магнит Клубника,164,1.6,,30,,,3.2,,,
"   4 x 100г, 400 g"

"Sunday, May 30, 2021",1734,84.18,9.32,159.87,,17.67,83.53,,,
 Breakfast,283,16.18,4.6,20.16,,5.7,14.2,,,
  Два Капитана Форель Слабосоленая,64,2.5,2.5,0,,,10.4,,,
"   1/2 x 100г, 50 g"
  Куряночка Масло Сливочное,94,10,,0.34,,,0.48,,,
   20 g
  Ростовские Хлебцы,70,0.38,,14.12,,,2.78,,,
"   1/4 x 100г, 25 g"
  Schogetten Шоколад,55,3.3,2.1,5.7,,5.7,0.54,,,
   10 g
